class,sNa,sK,gNa,gK,rheobase,floor_Hz,block_uA,structure
CS-II,1.0,1.0,120.0,20.0,7.19,70.0,200,GAP (Type-II)
CS-II,0.8,1.0,96.0,20.0,8.5,77.5,200,GAP (Type-II)
CS-II,1.2,1.0,144.0,20.0,6.31,70.0,200,GAP (Type-II)
CS-II,1.0,0.8,120.0,16.0,6.06,62.5,200,GAP (Type-II)
CS-II,1.0,1.2,120.0,24.0,8.44,80.0,200,GAP (Type-II)
CS-I,1.0,1.0,120.0,20.0,8.19,2.5,200,continuous (Type-I)
CS-I,0.8,1.0,96.0,20.0,9.62,2.5,200,continuous (Type-I)
CS-I,1.2,1.0,144.0,20.0,8.06,2.5,200,continuous (Type-I)
CS-I,1.0,0.8,120.0,16.0,7.81,2.5,130,continuous (Type-I)
CS-I,1.0,1.2,120.0,24.0,10.56,2.5,200,continuous (Type-I)
CS-II,1.0,1.0,120.0,20.0,7.19,70.0,200,GAP (Type-II)
CS-II,0.8,1.0,96.0,20.0,8.5,77.5,200,GAP (Type-II)
CS-II,1.2,1.0,144.0,20.0,6.31,70.0,200,GAP (Type-II)
CS-II,1.0,0.8,120.0,16.0,6.06,62.5,200,GAP (Type-II)
CS-II,1.0,1.2,120.0,24.0,8.44,80.0,200,GAP (Type-II)
CS-I,1.0,1.0,120.0,20.0,8.19,2.5,200,continuous (Type-I)
CS-I,0.8,1.0,96.0,20.0,9.62,2.5,200,continuous (Type-I)
CS-I,1.2,1.0,144.0,20.0,8.06,2.5,200,continuous (Type-I)
CS-I,1.0,0.8,120.0,16.0,7.81,2.5,130,continuous (Type-I)
CS-I,1.0,1.2,120.0,24.0,10.56,2.5,200,continuous (Type-I)
